iter	RMSE
248	5.075708618
249	5.074015488
250	5.072002645
251	5.07121449
252	5.068822815
253	5.064711541
254	5.063594292
255	5.060745359
256	5.057685726
257	5.055058015
258	5.051203571
259	5.049120143
260	5.047853975
261	5.046544451
262	5.045195687
263	5.040715911
264	5.039805697
265	5.037247341
266	5.035216283
267	5.033593782
268	5.032692652
269	5.030742792
270	5.029153699
271	5.02784402
272	5.026413338
273	5.0243033
274	5.02333308
275	5.020990629
276	5.018915071
277	5.017185782
278	5.016123643
279	5.012722491
280	5.011597163
281	5.009433363
282	5.008004455
283	5.005956636
284	5.004197182
285	5.002817769
286	5.001104334
287	4.999807247
288	4.997575563
289	4.995541806
290	4.995243965
291	4.992591758
292	4.990501849
293	4.987225706
294	4.982898446
295	4.981310548
296	4.978047693
297	4.976063016
298	4.973162822
299	4.970344027
300	4.966922503
301	4.965283839
302	4.96193649
303	4.961012844
304	4.957654637
305	4.955888622
306	4.954181853
307	4.952320587
308	4.951432375
309	4.950625363
310	4.946449862
311	4.944903599
312	4.941543285
313	4.938682159
314	4.936504884
315	4.932326111
316	4.931242728
317	4.929572012
318	4.928264073
319	4.926529208
320	4.92496647
321	4.92094387
322	4.918664091
323	4.916824759
324	4.916560708
325	4.914804575
326	4.913316177
327	4.911439102
328	4.910542654
329	4.906809913
330	4.905526932
331	4.903876262
332	4.902313108
333	4.900507543
334	4.896985926
335	4.893848897
336	4.892568008
337	4.890196057
338	4.889144099
339	4.888305169
340	4.887201862
341	4.885347033
342	4.88392261
343	4.882982406
344	4.879701392
345	4.879330073
346	4.876147149
347	4.874710434
348	4.873520869
349	4.872366035
350	4.87039554
351	4.868069493
352	4.866837595
353	4.86380233
354	4.859519876
355	4.856975691
356	4.855669593
357	4.852774263
358	4.850827172
359	4.847893581
360	4.844892352
361	4.842758289
362	4.841034537
363	4.840323589
364	4.839700814
365	4.835870493
366	4.835164812
367	4.833558068
368	4.831858885
369	4.830693178
370	4.829559741
371	4.826868111
372	4.825451417
373	4.823201265
374	4.822009772
375	4.820550472
376	4.818767393
377	4.81621457
378	4.813393872
379	4.811536823
380	4.810832681
381	4.808271893
382	4.806989886
383	4.805410975
384	4.803625042
385	4.799615162
386	4.797164001
387	4.796370548
388	4.794846913
389	4.794620394
390	4.792326609
391	4.789837838
392	4.786747982
393	4.785888259
394	4.784398406
395	4.781109462
396	4.779080574
397	4.777913513
398	4.774108981
